n,type,randomized_time,deterministic_time
1000,random,0.001792633323930204,0.0009894999287401636
1000,sorted,0.0012754666774223249,0.01812383330737551
1000,reverse,0.0012009000250448783,0.03047813327672581
1000,repeated,0.009800666671556732,0.009131566698973378
5000,random,0.007480366659971575,0.006118100020103157
5000,sorted,0.00781556669001778,0.4734342666730906
5000,reverse,0.00790440000128001,0.7593860999913886
5000,repeated,0.22158439996807525,0.21341723335596421
10000,random,0.017167966657628615,0.013602366670966148
10000,sorted,0.016765833327857155,1.752043033329149
10000,reverse,0.016765833366662264,3.0471861333353445
10000,repeated,0.8745576666745668,0.895060299973314
